modelId,manufacturerId,modelYearFrom,modelYearTo,modelName,isPassengerCar,isCommercialVehicle,isMotorbike,isLcv,isDriverCab,IsAxle,IsEngine,isBus,isAftermarket,isTractor,isVirtualOEM
30751,138,9/1/1986,12/31/1995,LLV Mini Cargo Van,1,0,0,0,0,0,0,0,0,1,0
6082,138,10/1/1989,9/30/1994,LUMINA Coupe,1,0,0,0,0,0,0,0,0,1,0
6081,138,10/1/1989,12/31/1994,LUMINA Saloon,1,0,0,0,0,0,0,0,0,1,1
6083,138,9/1/1994,12/31/2001,LUMINA Saloon,1,0,0,0,0,0,0,0,0,1,1
6771,138,10/1/1999,12/31/2007,LUMINA Saloon,1,0,0,0,0,0,0,0,0,1,0
10544,138,1/1/2006,null,LUMINA Saloon,1,0,0,0,0,0,0,0,0,1,0
10548,138,2/1/2000,1/31/2007,LUMINA Ute,1,0,0,0,0,0,0,0,0,1,0
10549,138,2/1/2007,6/30/2013,LUMINA Ute,1,0,0,0,0,0,0,0,0,1,0
1975,138,8/1/1989,12/31/1996,LUMINA APV MPV,1,0,0,0,0,0,0,0,0,1,1
6772,138,9/1/1978,12/31/2006,LUV,1,0,0,0,0,0,0,0,0,1,0
30757,138,9/1/1971,12/31/1980,LUV Standard Cab Pickup,1,0,0,0,0,0,0,0,0,0,0
35025,138,9/1/1980,12/31/1988,LUV Standard Cab Pickup,1,0,0,0,0,0,0,0,0,0,0
30755,138,9/1/1976,12/31/1981,LUV Cab & Chassis,1,0,0,0,0,0,0,0,0,0,0
14051,138,9/1/1963,12/31/1967,MALIBU,1,0,0,0,0,0,0,0,0,0,0
14056,138,9/1/1963,12/31/1967,MALIBU Estate,1,0,0,0,0,0,0,0,0,0,0
14053,138,9/1/1963,12/31/1967,MALIBU Hardtop,1,0,0,0,0,0,0,0,0,0,0
14054,138,9/1/1963,12/31/1967,MALIBU Convertible,1,0,0,0,0,0,0,0,0,0,0
14052,138,9/1/1972,12/31/1977,MALIBU,1,0,0,0,0,0,0,0,0,0,0
14055,138,9/1/1972,12/31/1977,MALIBU Coupe,1,0,0,0,0,0,0,0,0,1,0
30762,138,9/1/1972,12/31/1978,MALIBU Estate,1,0,0,0,0,0,0,0,0,0,0
2003,138,9/1/1977,12/31/1983,MALIBU,1,0,0,0,0,0,0,0,0,1,1
30759,138,9/1/1977,12/31/1983,MALIBU Coupe,1,0,0,0,0,0,0,0,0,1,0
35030,138,9/1/1977,12/31/1983,MALIBU Estate,1,0,0,0,0,0,0,0,0,1,0
6773,138,8/1/1996,9/30/2003,MALIBU,1,0,0,0,0,0,0,0,0,1,0
6775,138,10/1/2003,12/31/2007,MALIBU,1,0,0,0,0,0,0,0,0,1,0
10283,138,1/1/2008,null,MALIBU,1,0,0,0,0,0,0,0,0,1,0
